Date,Total Minutes Listened
2024-09-03 00:00:00,8.129999999999999
2024-09-04 00:00:00,4.97
2024-09-05 00:00:00,16.56
2024-09-06 00:00:00,2.96
2024-09-07 00:00:00,10.97
2024-09-08 00:00:00,5.3
2024-09-10 00:00:00,7.66
2024-09-11 00:00:00,9.12
2024-09-12 00:00:00,12.06
2024-09-16 00:00:00,2.8200000000000003
2024-09-17 00:00:00,5.05
2024-09-18 00:00:00,10.14
2024-09-19 00:00:00,0.5599999999999999
2024-09-22 00:00:00,1.49
2024-09-24 00:00:00,15.56
2024-09-25 00:00:00,23.42
2024-09-26 00:00:00,0.23
2024-09-27 00:00:00,10.5
2024-09-28 00:00:00,2.85
2024-09-29 00:00:00,0.01
2024-10-02 00:00:00,2.52
2024-10-03 00:00:00,5.01
2024-10-04 00:00:00,0.04
2024-10-05 00:00:00,0.4599999999999999
2024-10-08 00:00:00,0.05
2024-10-09 00:00:00,11.57
2024-10-10 00:00:00,7.0
2024-10-16 00:00:00,13.53
2024-10-17 00:00:00,2.69
2024-10-18 00:00:00,5.17
2024-10-20 00:00:00,5.37
2024-10-23 00:00:00,7.86
2024-10-25 00:00:00,0.34
2024-10-26 00:00:00,2.95
2024-10-27 00:00:00,14.97
2024-10-29 00:00:00,1.51
2024-10-30 00:00:00,7.640000000000001
2024-11-01 00:00:00,2.1
2024-11-06 00:00:00,22.210000000000004
2024-11-07 00:00:00,2.52
2024-11-09 00:00:00,0.04
2024-11-13 00:00:00,14.37
2024-11-14 00:00:00,21.97
2024-11-16 00:00:00,2.98
2024-11-19 00:00:00,2.49
2024-11-20 00:00:00,18.12
2024-11-21 00:00:00,5.37
2024-11-23 00:00:00,0.0
2024-11-24 00:00:00,0.0
2024-11-25 00:00:00,0.0
2024-11-26 00:00:00,2.4888833333333333
2024-11-27 00:00:00,5.1730833333333335
2024-11-28 00:00:00,0.0
2024-11-29 00:00:00,2.4888833333333333
2024-11-30 00:00:00,0.0
2024-12-01 00:00:00,0.0
2024-12-02 00:00:00,2.68765
